period,si,ni,rpi,spi,AQI
2002-02,17.690663623411197,43.1574429698552,109.6109280617947,155.68270094454735,184.80345515156972
2002-03,17.62138099924485,39.66415647361144,109.6109280617947,158.39050850400997,185.1378571449414
2002-04,17.77845027543601,39.91980044034253,109.6109280617947,176.94411606548675,202.15219066531316
2002-05,16.900193798449614,40.75910852713179,109.6109280617947,168.395879239121,206.52953631494088
2002-06,16.212286579086143,36.88658894050213,109.6109280617947,130.97617824285797,171.56582512699356
2002-07,16.462472885308916,35.376926986009785,109.6109280617947,152.6130178388555,190.0481379398393
2002-08,17.03500208020563,34.55863757443009,109.6109280617947,110.71093220626294,152.65795354418702
2002-09,16.22567490278549,34.9590688852365,109.6109280617947,118.94894590489308,158.66368284014413
2002-10,16.492050917612712,39.620770657057626,109.6109280617947,159.99171474582548,188.75968081741584
2002-11,16.7641631121478,41.49906769038116,109.6109280617947,169.955976168113,201.07095189876344
2002-12,16.390840964496793,43.28379923400532,109.6109280617947,196.0015777752569,220.5406834367196
2003-01,7.630067812417985,29.840957017820838,84.49293527474006,187.3088263781776,190.99708255191288
2003-02,7.790797238997052,27.763066824376136,79.57185545880061,141.80348310373296,147.02887635946138
2003-03,9.45753974406976,31.591843869384345,83.6521316256518,181.68413228650965,186.13462178059257
2003-04,9.3811148540007,32.7156132378987,86.59657287793111,204.26168514224503,210.8206514140364
2003-05,8.492112502939865,34.801901821416806,85.36628444671322,295.02794879492865,297.97732773898065
2003-06,8.584701893997446,31.64067254283018,83.82632668766486,166.15916085545246,174.15854221712962
2003-07,7.9334417937523485,26.81690253930082,77.81955825623703,132.2565319086383,143.17063332068776
2003-08,9.582833459524563,30.434900879822862,81.95699338229848,131.9689775100335,148.83661877192398
2003-09,9.069548543941725,30.123991480421136,84.3627325160872,118.90320776556732,137.1805957169085
2003-10,11.949235303855929,48.95569971627786,102.84714179146198,252.92998405905664,266.93650816144725
2003-11,12.386965953727398,51.5725492505215,108.93167915055574,249.786665949254,256.20461562485315
2003-12,11.802834322804168,55.27255875555916,109.19179022527584,241.7920013525085,243.65733543806752
2004-01,14.69990524023563,40.93056403126668,109.13642410178323,149.2405195665294,173.1706229264513
2004-02,14.947890292921466,41.6117596535136,107.88517497235593,150.55279244899089,175.6099769833608
2004-03,14.616500832310257,39.81029456004416,107.47681677295766,159.6223904433,184.14920400305857
2004-04,14.011252194124948,38.85342354692374,105.4653635324073,164.1967094114011,190.9991597225828
2004-05,14.043305713735498,37.81345548693203,103.9844418965536,153.7013893036398,183.64938546537016
